Avg Temperature (°C),Avg Humidity (%),Noise Level (dB),Sensitivity Factor,Sleep Duration (hrs),Sleep Latency (mins),Deep Sleep (%)
14.962768908204279,18.785183525345964,50.205254870452045,0.8854035807218248,5.80944259614831,18.310775837258504,20.36729780446801
33.63713217626,11.073439190545018,70.81117263003074,1.1950368483439746,2.5,39.349470696178486,12.105441472885355
23.753816879183127,72.54074283404472,70.35573958524503,1.1496814513442026,2.5,31.748201941175623,14.627948709554875
17.291998939949856,35.492858472396314,70.9221205485881,1.0534897202830769,2.5,30.339148974118483,16.0353608162875
32.627121710850794,12.326289884714994,41.57420458132756,0.8285482800217394,7.0029600306142195,20.251242058536924,19.546370498467724
16.70622711810967,29.541834560122012,77.49840308677145,1.1709807961660461,2.5,39.38804147199539,12.891353584974217
23.284416363038137,36.81235134945511,44.78490011307262,0.8269276995866632,7.399243541654384,16.35735147925601,21.271831028778085
20.388395698296478,76.26511132728834,83.10487220266441,1.022482313418045,2.5,41.17730363296122,11.915433470663439
6.231988463450827,69.58734703910946,53.8086124920722,0.8222485782865518,3.9063062575260314,23.14979478594566,17.79820712608012
19.149825546349955,57.36430998977344,61.410833587518766,1.1515708835635197,2.5,23.056180281267878,18.413854084728307
36.13618376062359,69.50237299196274,76.00015658747978,0.9160064454785758,2.5,39.325894029168055,11.873221924435217
27.742438372961637,18.739405979997663,33.40722691925272,1.0952560401916083,7.35689485061848,18.83080654113022,20.126931350256402
4.386660958536199,36.796624003803046,88.28754189193077,1.106394926479891,2.5,58.991768224227,5.814489699288455
12.447211039868588,71.75170467228466,48.50319062633715,1.1329784314507503,5.6227966828992315,20.169240548875656,18.72868567395995
22.356129415924684,85.1403679066767,61.14861042014711,1.1763532554164646,2.5,23.742339337481983,17.05691249782901
34.3420853676338,78.84931086862873,72.96168878192142,0.9717131038603833,2.5,37.00814493976349,12.335569677097267
3.3620167853467073,69.45049498653074,40.97095652789979,1.0445787791013226,6.408683010762669,24.16895697421901,17.231524910524968
11.439705678934864,68.00909456934532,73.30781068697317,0.8168084916752233,2.5,30.9867894833786,15.250361413554156
0.21427924197890835,45.77436769698348,53.43937928366964,0.9627026425314766,2.5427645363495657,28.06281630836157,16.182565383468486
