Temperature (°C),Humidity (%),Noise Level (dB),Sleep Duration (hrs),Sleep Latency (mins),Deep Sleep (%)
8.723548480819712,64.92424388325063,35.260888275320454,3.0,8.267685874924021,21.564600738152006
19.372932321994597,49.70432123662007,60.851385450687246,6.829740715632872,20.204588564004013,19.22013749526618
23.795018585600843,23.866181163614726,53.12389692671993,8.0,19.65517651225632,19.16430329510392
31.534912280297917,76.57787613363702,64.77655026017986,3.0,26.246929990173125,17.807681258961217
26.684584005473496,48.68438255467244,37.056685216116286,7.059934749498271,15.990839167024285,19.678707338646838
-0.29965487153123327,17.33177135937515,65.43853321997892,3.0,13.711698017381185,20.958038826154176
0.37787271962893954,46.991691320395496,55.34216627582862,3.0,10.953798970600161,21.395104414245672
11.566191393123326,86.45364596484755,43.75540075884683,3.0,11.953096784903378,20.855610822745323
17.95744405440336,59.4825577043348,53.2286286848166,6.369265192813355,17.351566227206323,19.742824160318836
12.032229128263559,58.21302213370587,48.31946424106968,3.0,13.508730923626327,20.58080387512016
3.4453716016528304,55.604028457971246,71.34600941468248,3.0,16.981951465065876,20.288162369100593
7.294187838614448,53.693097888819594,31.4091465408825,3.0,6.540419097710529,21.90012388909443
8.490498893410937,34.980318698790555,57.37435869440623,3.0,14.808507165686244,20.482232175938595
20.326062209982567,57.80861831722167,61.127905139960895,6.780521858642491,20.668796425981295,19.110998522003698
23.628487738123575,41.29946676392422,65.40822336411246,7.112088446856834,23.273862104483168,18.56674005798202
14.055504473435512,68.54304034201093,51.5763492049351,3.82490436296211,15.295106550854735,20.215632092409695
-2.3262995822103596,45.45710646505558,46.58504313995246,3.0,7.2449931091015936,22.103377801223413
-0.5272287585452418,14.625084977405178,54.07487354927539,3.0,10.211570561364518,21.548979198390754
1.9512972011424168,72.44574843973481,40.04126883179917,3.0,6.992899529996718,22.0028068382958
18.530680081840824,41.22916358822701,71.93802429805402,6.38379508570423,23.193679322152533,18.750030776913217
31.964002526360296,16.48797355512503,65.74291417462388,3.011576909095574,26.70847526293128,17.716454038632776
11.893327896161864,39.52275283296739,63.848015355848624,3.0,18.111735765219333,19.818266442591383
25.406120680651192,40.569404737412576,58.12190258630923,6.9779588498672664,21.799019048153244,18.75329280261942
-6.500067324551072,84.43956293933302,79.32058639233887,3.0,15.396148987881231,20.883977412838163
31.075051805991734,39.83125824578714,65.61507684274318,3.162630914844967,26.314543775219647,17.811740977263668
19.559200405645445,81.55194879884696,78.97544431993927,5.196548630246952,25.71631345823996,18.295307743438492
3.5656226021472612,27.69948388167122,76.60623412043313,3.0,18.60811927698884,20.013126033763616
5.7454789575447265,77.90582163246034,57.07784217409541,3.0,13.621544235246514,20.77155999554076
-7.335927865950895,61.893160998054114,69.78118045083431,3.0,12.199982988869936,21.44453376405337
23.210110956343655,27.09611211533676,52.89242909970321,8.0,19.351773112448424,19.234367449380475
8.89907600597338,39.13644532603811,38.59629542951589,3.0,9.338519031244118,21.38027762792687
-8.079159271566581,55.63634754267332,64.75699723890159,3.0,10.395435463043844,21.77006606521158
31.47641408023108,87.02307942734211,75.2945684792885,3.0,29.37893617587898,17.287630168012466
-5.827229690766711,43.2545719108878,54.542676416529254,3.0,8.23191104865209,22.05558914825021
-4.705255860496104,33.016437149665265,37.3016180172121,3.0,5.0,22.805444685189006
-6.037981977128708,36.17619227842031,47.032527257042034,3.0,5.894565386261126,22.45217183486077
-8.341413436627281,46.2546269860608,33.97508005127919,3.0,5.0,23.33538734109877
6.0155954628283155,53.593418982348915,34.9823391949051,3.0,7.100939943602855,21.849323493971912
6.954608436037237,26.89886225053936,42.83449126879432,3.0,9.832190755053189,21.36281459295656
2.9771424678354226,18.76412102882016,72.02313570031737,3.0,16.99779769722938,20.30112896820059
11.2349645772902,74.9375532814448,52.194555763576666,3.0,14.35235255998908,20.466775754092147
2.508288320385949,38.39199419961945,47.304580540063654,3.0,9.394689490173477,21.583942140958225
24.357158409978183,54.51165095617622,46.11134518699377,7.342386875348419,17.776266920089405,19.45871689965249
22.247894829220243,34.349662131580146,57.942355162300935,7.748743337242852,20.481864480378377,19.078092758962928
29.621378364556513,25.449026677100104,64.84376844698656,4.8385080530210285,25.50168187991857,17.99567374119502
12.239349024748602,69.77963697715442,37.0275284423655,3.0,10.203998142609091,21.124688675406865
20.0397945427168,80.76972442383072,79.03635374717916,5.32333384565977,25.926823941240468,18.244202858369363
4.280292246321384,27.033330836218088,40.44313396813446,3.0,8.04505708896889,21.74981407696114
-8.868825162328234,41.064373163721896,76.24325668327062,3.0,13.52544694004989,21.274719682069293
-8.268969128699785,15.685552157083684,61.069220472012,3.0,9.213178490123685,21.97343588926938
16.833068330455497,78.36182803541685,72.06392659812187,4.5317289511255225,22.552405311618756,18.913496837048356
9.306319278797613,37.29798584414564,63.04655614602618,3.0,16.836494555326897,20.11704026481893
31.4547151784107,81.20506524355841,41.743566822157625,3.0,19.304956118011567,18.96735014105105
25.451609858850297,13.008780033097631,45.98327180104522,8.0,18.175625483853683,19.35567542406271
27.819225058767778,29.10122948450563,67.97809646876516,5.814670242484683,25.721118964136657,18.019172670684963
-5.55443113514418,81.68157633890141,46.89617806331104,3.0,6.047080964935638,22.410634210348864
31.604907148294686,60.27494523499662,50.97810562430549,3.0,22.135394546609522,18.490604003955255
3.4710051928225933,33.71258971549609,79.81650054269856,3.0,19.53335223993861,19.862074453582814
31.922467731107112,80.83592587438827,49.922168891062995,3.0,21.945637759761745,18.511644782336138
7.4564030500509375,41.61620990424205,39.53642440403756,3.0,9.043488541231643,21.47753847479303
-2.945050217932936,73.23593811201644,46.565490267926464,3.0,6.991626993204763,22.16623050839697
22.075254869429017,59.605599264218434,73.19122038589742,6.383900041868911,24.987468063540835,18.332913493762227
2.622915190357963,23.805676046701407,54.74937935407361,3.0,11.67397988236527,21.200239513260524
-6.069175550051277,66.09208478192633,50.25334441631142,3.0,6.848333104872914,22.294250334189556
23.655286781550416,87.8562822131566,52.37095536830748,6.232474602414226,19.37340132311241,19.215923553429583
